"astro-ph/0701317","Eric Linder","Eric V. Linder and Robert N. Cahn","Parameterized Beyond-Einstein Growth","8 pages; v2 minor clarifications, matches published version","Astropart.Phys.28:481-488,2007","10.1016/j.astropartphys.2007.09.003",,"astro-ph gr-qc",,"  A single parameter, the gravitational growth index \gamma, succeeds in
characterizing the growth of density perturbations in the linear regime
separately from the effects of the cosmic expansion. The parameter is
restricted to a very narrow range for models of dark energy obeying the laws of
general relativity but takes on distinctly different values in models of
beyond-Einstein gravity. In analogy to the parameterized post-Newtonian (PPN)
formalism for testing gravity, we extend and motivate the gravitational growth
index, or Minimal Modified Gravity, approach to parameterizing beyond-Einstein
cosmology. Using a simple analytic formalism, we show how the growth index
parameter applies to early dark energy, time-varying gravity, DGP braneworld
gravity, and scalar-tensor gravity.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 17:33:15 GMT""},{""version"":""v2"",""created"":""Wed, 19 Sep 2007 17:51:41 GMT""}]","2010-11-05"
"math/0701330","Jane Gilman","Jane Gilman","Canonical Symplectic Representations for Prime Order Conjugacy Classes
  of the Mapping-class Group","24 pages; change in title; typos corrected; some theorems revised;
  computational complexity added; final version of paper to appear in Journal
  of Algebra",,,,"math.GT math.GR",,"  In this paper we find a unique normal form for the symplectic matrix
representation of the conjugacy class of a prime order element of the
mapping-class group. We find a set of generators for the fundamental group of a
surface with a conformal automorphism of prime order which reflects the action
the automorphism in an optimal way. This is called an {\sl adapted} homotopy
basis and there is a corresponding {\sl adapted presentation}. We also give a
necessary and sufficient condition for a prime order symplectic matrix to be
the image of a prime order element in the mapping-class group.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 19:37:01 GMT""},{""version"":""v2"",""created"":""Sun, 17 Jun 2007 12:28:31 GMT""}]","2007-06-17"
"math/0701331","William Briggs","William M. Briggs","On the non-arbitrary assignment of equi-probable priors","23 pages",,,,"math.ST stat.TH",,"  How to form priors that do not seem artificial or arbitrary is a central
question in Bayesian statistics. The case of forming a prior on the truth of a
proposition for which there is no evidence, and the definte evidence that the
event can happen in a finite set of ways, is detailed. The truth of a
propostion of this kind is frequently assigned a prior of 0.5 via arguments of
ignorance, randomness, the Principle of Indiffernce, the Principal Principal,
or by other methods. These are all shown to be flawed. The statistical
syllogism introduced by Williams in 1947 is shown to fix the problems that the
other arguments have. An example in the context of model selection is given.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 20:28:53 GMT""}]","2007-06-13"
"math/0701332","Erkko Lehtonen","Miguel Couceiro, Erkko Lehtonen","On the effect of variable identification on the essential arity of
  functions","10 pages","Int. J. Found. Comput. Sci. 18 (2007) 975-986","10.1142/S012905410700508X",,"math.CO",,"  We show that every function of several variables on a finite set of k
elements with n>k essential variables has a variable identification minor with
at least n-k essential variables. This is a generalization of a theorem of
Salomaa on the essential variables of Boolean functions. We also strengthen
Salomaa's theorem by characterizing all the Boolean functions f having a
variable identification minor that has just one essential variable less than f.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 20:37:39 GMT""}]","2016-11-22"
"math/0701333","Lev Rozansky","Mikhail Khovanov and Lev Rozansky","Virtual crossings, convolutions and a categorification of the SO(2N)
  Kauffman polynomial",,,,,"math.QA",,"  We suggest a categorification procedure for the SO(2N) one-variable
specialization of the two-variable Kauffman polynomial. The construction has
many similarities with the HOMFLYPT categorification: a planar graph formula
for the polynomial is converted into a complex of graded vector spaces, each of
them being the homology of a Z_2 graded differential vector space associated to
a graph and constructed using matrix factorizations. This time, however, the
elementary matrix factorizations are not Koszul; instead, they are convolutions
of chain complexes of Koszul matrix factorizations. We prove that the homotopy
class of the resulting complex associated to a diagram of a link is invariant
under the first two Reidemeister moves and conjecture its invariance under the
third move.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 14:31:33 GMT""}]","2007-05-23"
"math/0701334","Michael Larsen","Michael Larsen and Aner Shalev","Word maps and Waring type problems","30 pages",,,,"math.GR",,"  Waring's classical problem deals with expressing every natural number as a
sum of g(k) k-th powers. Recently there has been considerable interest in
similar questions for nonabelian groups, and simple groups in particular. Here
the k-th power word is replaced by an arbitrary nontrivial group word w, and
the goal is to express group elements as short products of values of w.
  We give a best possible and somewhat surprising solution for this Waring type
problem for various finite simple groups, showing that a product of length two
suffices to express all elements. We also show that the set of values of w is
very large, improving various results obtained previously.
  Along the way we also obtain new results of independent interest on character
values and class squares in symmetric groups.
  Our methods involve algebraic geometry, representation theory, probabilistic
arguments, as well as three prime theorems from additive number theory
(approximating Goldbach's Conjecture).
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 22:47:07 GMT""}]","2007-05-23"
"math/0701335","Brett Kotschwar","Brett Kotschwar","Hamilton's gradient estimate for the heat kernel on complete manifolds","6 pages, to appear in Proc. Amer. Math. Soc",,,,"math.AP",,"  In this paper we extend a gradient estimate of R. Hamilton for positive
solutions to the heat equation on closed manifolds to bounded positive
solutions on complete, non-compact manifolds with $Rc \geq -Kg$. We accomplish
this extension via a maximum principle of L. Karp and P. Li and a
Bernstein-type estimate on the gradient of the solution. An application of our
result, together with the bounds of P. Li and S.T. Yau, yields an estimate on
the gradient of the heat kernel for complete manifolds with non-negative Ricci
curvature that is sharp in the order of $t$ for the heat kernel on
${\mathbb{R}}^n$.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 00:03:14 GMT""}]","2007-05-23"
"math/0701336","Robert Waelder","Robert Waelder","Equivariant Elliptic Genera and Local McKay Correspondences",,,,,"math.AG",,"  We prove an equivariant version of the McKay correspondence for the elliptic
genus on open varieties with a torus action. As a consequence, we will prove
the equivariant DMVV formula for the Hilbert scheme of points on $\C^2$.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 01:14:22 GMT""}]","2007-05-23"
"math/0701337","Ruo Li","Thomas Y. Hou and Ruo Li","Computing Nearly Singular Solutions Using Pseudo-Spectral Methods","26 pages, 23 figures",,"10.1016/j.jcp.2007.04.014",,"math.NA",,"  In this paper, we investigate the performance of pseudo-spectral methods in
computing nearly singular solutions of fluid dynamics equations. We consider
two different ways of removing the aliasing errors in a pseudo-spectral method.
The first one is the traditional 2/3 dealiasing rule. The second one is a high
(36th) order Fourier smoothing which keeps a significant portion of the Fourier
modes beyond the 2/3 cut-off point in the Fourier spectrum for the 2/3
dealiasing method. Both the 1D Burgers equation and the 3D incompressible Euler
equations are considered. We demonstrate that the pseudo-spectral method with
the high order Fourier smoothing gives a much better performance than the
pseudo-spectral method with the 2/3 dealiasing rule. Moreover, we show that the
high order Fourier smoothing method captures about $12 \sim 15%$ more effective
Fourier modes in each dimension than the 2/3 dealiasing method. For the 3D
Euler equations, the gain in the effective Fourier codes for the high order
Fourier smoothing method can be as large as 20% over the 2/3 dealiasing method.
Another interesting observation is that the error produced by the high order
Fourier smoothing method is highly localized near the region where the solution
is most singular, while the 2/3 dealiasing method tends to produce oscillations
in the entire domain. The high order Fourier smoothing method is also found be
very stable dynamically. No high frequency instability has been observed.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 03:07:10 GMT""}]","2009-11-13"
"math/0701338","Norman Wildberger","N J Wildberger","One dimensional metrical geometry","19 pages",,,,"math.MG math.AG",,"  One dimensional metrical geometry may be developed in either an affine or
projective setting over a general field using only algebraic ideas and
quadratic forms. Some basic results of universal geometry are already present
in this situation, such as the Triple quad formula, the Triple spread formula
and the Spread polynomials, which are universal analogs of the Chebyshev
polynomials of the first kind. Chromogeometry appears here, and the related
metrical and algebraic properties of the projective line are brought to the
fore.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 03:16:28 GMT""}]","2007-05-23"
"math/0701339","Scott Morrison","David Clark, Scott Morrison and Kevin Walker","Fixing the functoriality of Khovanov homology","91 pages. Added David Clark as co-author. Further detail on
  variations of third Reidemeister moves, to allow treatment of previously
  missing cases of movie move six. See changelog section for more detail","Geom. Topol. 13 (2009) 1499-1582","10.2140/gt.2009.13.1499",,"math.GT",,"  We describe a modification of Khovanov homology (math.QA/9908171), in the
spirit of Bar-Natan (math.GT/0410495), which makes the theory properly
functorial with respect to link cobordisms.
  This requires introducing `disorientations' in the category of smoothings and
abstract cobordisms between them used in Bar-Natan's definition.
Disorientations have `seams' separating oppositely oriented regions, coming
with a preferred normal direction. The seams satisfy certain relations (just as
the underlying cobordisms satisfy relations such as the neck cutting relation).
  We construct explicit chain maps for the various Reidemeister moves, then
prove that the compositions of chain maps associated to each side of each of
Carter and Saito's movie moves (MR1238875, MR1445361) always agree. These
calculations are greatly simplified by following arguments due to Bar-Natan and
Khovanov, which ensure that the two compositions must agree, up to a sign. We
set up this argument in our context by proving a result about duality in
Khovanov homology, generalising previous results about mirror images of knots
to a `local' result about tangles. Along the way, we reproduce Jacobsson's sign
table (math.GT/0206303) for the original `unoriented theory', with a few
disagreements.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 06:53:23 GMT""},{""version"":""v2"",""created"":""Mon, 21 Jan 2008 17:48:57 GMT""}]","2014-11-11"
"math/0701340","Gabriel Navarro","Pascual Jara, Luis M. Merino and Gabriel Navarro","Localization in tame and wild coalgebras","23 pages, to appear in Journal of Pure and Applied Algebra",,,,"math.RT math.RA",,"  We apply the theory of localization for tame and wild coalgebras in order to
prove the following theorem: ""Let Q be an acyclic quiver. Then any tame
admissible subcoalgebra of KQ is the path coalgebra of a quiver with
relations"".
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 10:21:45 GMT""}]","2007-05-23"
"math/0701341","Masoumeh Dashti","Masoumeh Dashti, James C. Robinson","An a posteriori condition on the numerical approximations of the
  Navier-Stokes equations for the existence of a strong solution",,,,,"math.AP",,"  In their 2006 paper, Chernyshenko et al prove that a sufficiently smooth
strong solution of the 3d Navier-Stokes equations is robust with respect to
small enough changes in initial conditions and forcing function. They also show
that if a regular enough strong solution exists then Galerkin approximations
converge to it. They then use these results to conclude that the existence of a
sufficiently regular strong solution can be verified using sufficiently refined
numerical computations. In this paper we study the solutions with minimal
required regularity to be strong, which are less regular than those considered
in Chernyshenko et al (2006). We prove a similar robustness result and show the
validity of the results relating convergent numerical computations and the
existence of the strong solutions.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 11:41:46 GMT""}]","2007-05-23"
"math/0701342","Kentaro Ito","Kentaro Ito","Convergence and divergence of Kleinian punctured torus groups","30 pages v2: The proof of Theorem 3.8 in v1 is rewritten by using
  elementary arguments so that we do not make use of the Drilling Theorem",,,,"math.GT","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this paper we give a necessary and sufficient condition in which a
sequence of Kleinian punctured torus groups converges. This result tells us
that every exotically convergent sequence of Kleinian punctured torus groups is
obtained by the method due to Anderson and Canary. Thus we obtain a complete
description of the set of points at which the space of Kleinian punctured torus
groups self-bumps. We also discuss geometric limits of sequences of Bers
slices.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 11:54:27 GMT""},{""version"":""v2"",""created"":""Fri, 1 Jul 2011 08:26:23 GMT""}]","2011-07-04"
"math/0701343","Klaus K\""unnemann","Jean-Benoit Bost and Klaus Kuennemann","Hermitian vector bundles and extension groups on arithmetic schemes. I.
  Geometry of numbers",,,,,"math.NT math.AG",,"  We define and investigate extension groups in the context of Arakelov
geometry. The 'arithmetic extension groups' we introduce are extensions by
groups of analytic types of the usual extension groups attached to
$\O_X$-modules over an arithmetic scheme $X$. In this paper, we focus on the
first arithmetic extension group - the elements of which may be described in
terms of admissible short exact sequences of hermitian vector bundles over $X$
- and we especially consider the case when $X$ is an 'arithmetic curve', namely
the spectrum $\Spec \O_K$ of the ring of integers in some number field $K$.
Then the study of arithmetic extensions over $X$ is related to old and new
problems concerning lattices and the geometry of numbers.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 14:12:29 GMT""}]","2007-05-23"
"math/0701344","Claudia Garetto","Claudia Garetto","Fundamental solutions in the Colombeau framework: applications to
  solvability and regularity theory",,,,,"math.AP",,"  In this article we introduce the notion of fundamental solution in the
Colombeau context as an element of the dual $\LL(\Gc(\R^n),\wt{\C})$. After
having proved the existence of a fundamental solution for a large class of
partial differential operators with constant Colombeau coefficients, we
investigate the relationships between fundamental solutions in
$\LL(\Gc(\R^n),\wt{\C})$, Colombeau solvability and $\G$- and
$\Ginf$-hypoellipticity respectively.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 13:30:52 GMT""},{""version"":""v2"",""created"":""Tue, 30 Jan 2007 16:30:06 GMT""}]","2007-05-23"
"math/0701345","Christophe Smet","Jonathan Coussement, Christophe Smet","Irrationality proof of certain Lambert series using little q-Jacobi
  polynomials","16 pages",,,,"math.CA math.NT",,"  We apply the Pade technique to find rational approximations to %
\[h^{\pm}(q_1,q_2)=\sum_{k=1}^\infty\frac{\q_1^k}{1\pm \q_2^k}, 0<q_1,q_2<1,
q_1\in\mathbb{Q}, q_2=1/p_2, p_2\in\mathbb{N}\setminus\{1\}.\] % A separate
section is dedicated to the special case $q_i=q^{r_i}, r_i\in\mathbb{N}, q=1/p,
p\in\mathbb{N}\setminus\{1\}$. In this construction we make use of little
$q$-Jacobi polynomials. Our rational approximations are good enough to prove
the irrationality of $h^{\pm}(q_1,q_2)$ and give an upper bound for the
irrationality measure.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 13:37:02 GMT""}]","2007-05-23"
"math/0701346","Oliver Riordan","B\'ela Bollob\'as, Christian Borgs, Jennifer Chayes, Oliver Riordan","Percolation on dense graph sequences","Published in at http://dx.doi.org/10.1214/09-AOP478 the Annals of
  Probability (http://www.imstat.org/aop/) by the Institute of Mathematical
  Statistics (http://www.imstat.org)","Annals of Probability 2010, Vol. 38, No. 1, 150-183","10.1214/09-AOP478","IMS-AOP-AOP478","math.PR math.CO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this paper we determine the percolation threshold for an arbitrary
sequence of dense graphs $(G_n)$. Let $\lambda_n$ be the largest eigenvalue of
the adjacency matrix of $G_n$, and let $G_n(p_n)$ be the random subgraph of
$G_n$ obtained by keeping each edge independently with probability $p_n$. We
show that the appearance of a giant component in $G_n(p_n)$ has a sharp
threshold at $p_n=1/\lambda_n$. In fact, we prove much more: if $(G_n)$
converges to an irreducible limit, then the density of the largest component of
$G_n(c/n)$ tends to the survival probability of a multi-type branching process
defined in terms of this limit. Here the notions of convergence and limit are
those of Borgs, Chayes, Lov\'asz, S\'os and Vesztergombi. In addition to using
basic properties of convergence, we make heavy use of the methods of
Bollob\'as, Janson and Riordan, who used multi-type branching processes to
study the emergence of a giant component in a very broad family of sparse
inhomogeneous random graphs.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 15:10:52 GMT""},{""version"":""v2"",""created"":""Sat, 5 Apr 2008 19:45:56 GMT""},{""version"":""v3"",""created"":""Fri, 29 Jan 2010 06:35:18 GMT""}]","2010-02-04"
"math/0701347","Lucas Gerin","Philippe Chassaing (IECN), Lucas Gerin (IECN)","Efficient estimation of the cardinality of large data sets","Extended and improved version of the published paper","4th Colloquium on Mathematics and Computer Science, France (2006)",,,"math.ST math.PR stat.TH","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  F.Giroire has recently proposed an algorithm which returns the approximate
number of distincts elements in a large sequence of words, under strong
constraints coming from the analysis of large data bases. His estimation is
based on statistical properties of uniform random variables in $[0,1]$. In this
note we propose an optimal estimation, using Kullback information and
estimation theory.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 14:07:09 GMT""},{""version"":""v2"",""created"":""Tue, 28 Aug 2007 14:18:32 GMT""},{""version"":""v3"",""created"":""Fri, 22 Apr 2011 15:00:54 GMT""}]","2011-04-25"
"math/0701348","Tim Browning","T.D. Browning and D.R. Heath-Brown","Rational points on quartic hypersurfaces","47 pages",,,,"math.NT math.AG",,"  Let X be a non-singular projective hypersurface of degree 4, which is defined
over the rational numbers. Assume that X has dimension 39 or more, and that X
contains a real point and p-adic points for every prime p. Then X is shown to
contain infinitely many rational points.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 14:23:21 GMT""},{""version"":""v2"",""created"":""Tue, 8 Jan 2008 07:47:15 GMT""}]","2008-01-08"
"math/0701349","Zhiqin Lu","Christopher Lin and Zhiqin Lu","Quantum Layers over Surfaces Ruled Outside a Compact Set",,"J. Math. Phys., 48:053522, 14p, 2007.","10.1063/1.2736518",,"math.DG math-ph math.MP",,"  In this paper, we proved the quantum layer over a surface which is ruled
outside a compact set, asymptotically flat but not totally geodesic admits
ground states.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 15:25:21 GMT""}]","2009-11-13"
"nlin/0701021","Gino Biondini","Jinglai Li, Elaine Spiller and Gino Biondini","Noise-induced perturbations of dispersion-managed solitons","12 pages, 6 figures",,"10.1103/PhysRevA.75.053818",,"nlin.PS nlin.SI",,"  We study noise-induced perturbations of dispersion-managed solitons by
developing soliton perturbation theory for the dispersion-managed nonlinear
Schroedinger (DMNLS) equation, which governs the long-term behavior of optical
fiber transmission systems and certain kinds of femtosecond lasers. We show
that the eigenmodes and generalized eigenmodes of the linearized DMNLS equation
around traveling-wave solutions can be generated from the invariances of the
DMNLS equations, we quantify the perturbation-induced parameter changes of the
solution in terms of the eigenmodes and the adjoint eigenmodes, and we obtain
evolution equations for the solution parameters. We then apply these results to
guide importance-sampled Monte-Carlo simulations and reconstruct the
probability density functions of the solution parameters under the effect of
noise.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 17:01:08 GMT""}]","2009-11-13"
"nlin/0701022","Kim Montgomery","K.A. Montgomery, M. Silber, and S.A. Solla","Amplification in the auditory periphery: the effect of coupling tuning
  mechanisms",,,"10.1103/PhysRevE.75.051924",,"nlin.PS",,"  A mathematical model describing the coupling between two independent
amplification mechanisms in auditory hair cells is proposed and analyzed. Hair
cells are cells in the inner ear responsible for translating sound-induced
mechanical stimuli into an electrical signal that can then be recorded by the
auditory nerve. In nonmammals, two separate mechanisms have been postulated to
contribute to the amplification and tuning properties of the hair cells. Models
of each of these mechanisms have been shown to be poised near a Hopf
bifurcation. Through a weakly nonlinear analysis that assumes weak periodic
forcing, weak damping, and weak coupling, the physiologically-based models of
the two mechanisms are reduced to a system of two coupled amplitude equations
describing the resonant response. The predictions that follow from an analysis
of the reduced equations, as well as performance benefits due to the coupling
of the two mechanisms, are discussed and compared with published experimental
auditory nerve data.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 05:08:07 GMT""}]","2009-11-13"
"nucl-th/0701030","Volker E. Oberacker","V.E. Oberacker, A. Blazkiewicz, A.S. Umar","Skyrme-HFB Calculations in Coordinate Space for the Krypton Isotopes Up
  to the Two-Neutron Dripline","11 pages, 3 figures; invited manuscript, special issue of Romanian
  Reports in Physics","Rom.Rep.Phys.59:559-568,2007",,,"nucl-th",,"  For axially symmetric even-even nuclei, we solve the Hartree-Fock-Bogoliubov
(HFB) equations on a 2-D grid in cylindrical coordinates. The Skyrme SLy4
interaction is used for the mean field and a zero-range interaction for the
pairing field. After decoupling the HFB lattice equations, we obtain
quasiparticle states with equivalent single-particle energies up to 100 MeV or
more. We present results for the Krypton isotope chain up to the two-neutron
dripline, including two-neutron separation energies, pairing gaps, and
quadrupole deformations for the ground states and isomeric minima.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 16:16:28 GMT""}]","2008-11-26"
"nucl-th/0701031","Antonio M. Lallena","M. Martini and G. Co', M. Anguiano, A. M. Lallena","Superscaling in electroweak excitation of nuclei","19 pages, 12 figures, 1 table; to be published in Physical Review C","Phys.Rev.C75:034604,2007","10.1103/PhysRevC.75.034604",,"nucl-th",,"  Superscaling properties of 12C, 16O and 40Ca nuclear responses, induced by
electron and neutrino scattering, are studied for momentum transfer values
between 300 and 700 MeV/c. We have defined two indexes to have quantitative
estimates of the scaling quality. We have analyzed experimental responses to
get the empirical values of the two indexes. We have then investigated the
effects of finite dimensions, collective excitations, meson exchange currents,
short-range correlations and final state interactions. These effects strongly
modify the relativistic Fermi gas scaling functions, but they conserve the
scaling properties. We used the scaling functions to predict electron and
neutrino cross sections and we tested their validity by comparing them with the
cross sections obtained with a full calculation. For electron scattering we
also made a comparison with data. We have calculated the total charge-exchange
neutrino cross sections for neutrino energies up to 300 MeV.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 17:33:00 GMT""},{""version"":""v2"",""created"":""Fri, 12 Jan 2007 16:20:19 GMT""}]","2008-11-26"
"nucl-th/0701032","Paul Romatschke","Paul Romatschke","Causal Viscous Hydrodynamics for Central Heavy-Ion Collisions II: Meson
  Spectra and HBT Radii","10 pages, 6 figures; v2: bug corrected, minor changes in results","Eur.Phys.J.C52:203-209,2007","10.1140/epjc/s10052-007-0354-z","INT PUB 07-03","nucl-th hep-ph",,"  Causal viscous hydrodynamic fits to experimental data for pion and kaon
transverse momentum spectra from central Au+Au collisions at \sqrt{s_{NN}}=200
GeV are presented. Starting the hydrodynamic evolution at 1 fm/c and using
small values for the relaxation time, reasonable fits up to moderate ratios
\eta/s\simeq 0.4 can be obtained. It is found that a percentage of roughly 50
\eta/s to 75 \eta/s of the final meson multiplicity is due to viscous entropy
production. Finally, it is shown that with increasing viscosity, the ratio of
HBT radii R_{out}/R_{side} approaches and eventually matches the experimental
data.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 20:33:33 GMT""},{""version"":""v2"",""created"":""Fri, 16 Feb 2007 18:50:11 GMT""}]","2008-11-26"
"nucl-th/0701033","Michael Bender","A. P. Severyukhin, M. Bender, H. Flocard, P.-H. Heenen","Large-amplitude Qn-Qp collectivity in the neutron-rich oxygen isotope
  20O","8 pages REVTEX, 5 eps figures","Phys.Rev.C75:064303,2007","10.1103/PhysRevC.75.064303",,"nucl-th",,"  By means of HFB calculations with independent constraints on axial neutron
and proton quadrupole moments Q_n and Q_p, we investigate the large amplitude
isoscalar and isovector deformation properties of the neutron-rich isotope 20O.
Using the particle-number and angular-momentum projected Generator Coordinate
Method, we analyze the collective dynamics in the {Q_n, Q_p} plane. The
parameterization SLy4 of the Skyrme interaction is used for all calculations in
connection with a density-dependent zero-range pairing interaction. Our results
show that already for this moderately neutron-rich nucleus the transition
moments are modified when independent neutron and proton collective dynamics
are allowed.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 13:01:12 GMT""}]","2008-11-26"
"nucl-th/0701034","Winfried Leidemann","W. Leidemann","Electromagnetic reactions of few-body systems with the Lorentz integral
  transform method","8 pages with 6 figures, invited talk at the 18th International IUPAP
  Conference on Few-Body Problems in Physics, Santos-S.Paulo, August 21-26,
  2006","Nucl.Phys.A790:24-29,2007","10.1016/j.nuclphysa.2007.03.052",,"nucl-th",,"  Various electromagnetic few-body break-up reactions into the many-body
continuum are calculated microscopically with the Lorentz integral transform
(LIT) method. For three- and four-body nuclei the nuclear Hamiltonian includes
two- and three- nucleon forces, while semirealistic interactions are used in
case of six- and seven-body systems. Comparisons with experimental data are
discussed. In addition various interesting aspects of the $^4$He
photodisintegration are studied: investigation of a tetrahedrical symmetry of
$^4$He and a test of non-local nuclear force models via the induced two-body
currents.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 15:24:46 GMT""}]","2008-11-26"
"nucl-th/0701035","Massimiliano Procura","Wolfram Weise","Chiral SU(3) dynamics, KN interactions and the quest for
  antikaon-nuclear clusters","6 pages, 3 figures",,,,"nucl-th",,"  This presentation reviews recent developments in the understanding of
low-energy kaon-nucleon interactions as they relate to the possible existence
of antikaon-nuclear quasibound states. A state-of-the-art discussion of
low-energy \bar{K}N interactions is given, with special emphasis on the
subthreshold region relevant to the proposed kaon-nuclear systems.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 15:54:55 GMT""}]","2007-05-23"
"physics/0701129","Uwe Weierstall","U. Weierstall, R. B. Doak, J. C. H. Spence, D. Starodub, D. Shapiro,
  P. Kennedy, J. Warner, G. G. Hembree, P. Fromme and H. Chapman","Droplet beams for serial crystallography of proteins","29 pages",,"10.1007/s00348-007-0426-8",,"physics.optics physics.bio-ph",,"  Serial diffraction of proteins requires an injection method to deliver
protein molecules - preferably uncharged, fully hydrated, spatially oriented,
and with high flux - into the crossed beams of an alignment laser and a focused
probe beam of electrons or X-rays of typically only a few tens of microns
diameter. The aim of this work has been to examine several potential droplet
sources as to their suitability for this task. We compare Rayleigh droplet
sources, electrospray sources, nebulizers and aerojet-focused droplet sources
using time-resolved optical images of the droplet beams. Shrinkage of droplets
by evaporation as a means of removing most of the water surrounding the
proteins is discussed. Experimental measurements of droplet size, conformation
of proteins after passing through a Rayleigh jet, and triboelectric charging
are presented and conclusions are drawn about the source configuration for
serial diffraction. First experimental X-ray diffraction patterns from Rayleigh
droplet beams doped with 100nm gold balls are shown.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 17:55:22 GMT""}]","2009-11-13"
"physics/0701142","Ramy Harik","Ramy Harik (CRAN), Vincent Capponi (IPR), Muriel Lombard (CRAN),
  Gabriel Ris (CRAN)","Enhanced functions supporting process planning for aircraft structural
  parts",,"4th CESA Multiconference on ""Computational Engineering in Systems
  Applications"" (04/10/2006) XX",,,"physics.class-ph",,"  Aiming at automating the different trades intervening in mechanical parts'
design activities, one finds the weakest link within the interface linking the
computer aided-design trade (CAD) and the process planning trade (CAPP) where a
huge semantic gap is detected. Works generally tends to optimize the
pre-process planning trade (design/CAD) and post-process planning trade
(machinning/CAM). So as to bridge in between CAD and CAPP we present at first
support functions that helps a process planner setting a process plan for an
aircraft structural part. The proposed functions will be forwarded in the same
order the planner questions himself during his first analysis. Each function is
justified by presenting the need behind. We end up on the benefits of having
such an assistance tool as we mention the future perspectives of our works.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 17:00:01 GMT""}]","2007-05-23"
"physics/0701143","Richard T. Hammond","Richard T. Hammond","Comparison of spin effects and self forces on the electron","15 pages, 5 figures",,,,"physics.optics physics.plasm-ph",,"  The relativistic equation of motion of a particle with spin is derived. The
effects of the spin are compared to the effects of the self force. For low
energies the spin effects are shown to be two orders of magnitude larger than
the self force. For higher energies it is shown that the self forces are
bigger, and the overall magnitude of the effects are compared.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 19:05:32 GMT""}]","2007-05-23"
"physics/0701144","Oskar Painter J","Michael Bahriz, Orion Crisafulli, Virginie Moreau, Raffaele
  Colombelli, and Oskar Painter","Design of mid-IR and THz quantum cascade laser cavities with complete TM
  photonic bandgap","14 pages, 14 figures",,"10.1364/OE.15.005948",,"physics.optics",,"  We present the design of mid-infrared and THz quantum cascade laser cavities
formed from planar photonic crystals with a complete in-plane photonic bandgap.
The design is based on a honeycomb lattice, and achieves a full in-plane
photonic gap for transverse-magnetic polarized light while preserving a
connected pattern for efficient electrical injection. Candidate defects modes
for lasing are identified. This lattice is then used as a model system to
demonstrate a novel effect: under certain conditions - that are typically
satisfied in the THz range - a complete photonic gap can be obtained by the
sole patterning of the top metal contact. This possibility greatly reduces the
required fabrication complexity and avoids potential damage of the
semiconductor active region.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 20:25:58 GMT""}]","2009-11-13"
